              (-2.4233258462883525,2.4233258462883525)
              (-2.3746132649755478,2.3746132649755478)
              (-2.3243742386987964,2.3243742386987964)
              (-2.2726877313047091,2.2726877313047091)
              (-2.2196381272330252,2.2196381272330252)
              (-2.1653156577409249,2.1653156577409249)
              (-2.1098172077266617,2.1098172077266617)
              (-2.0532465026286695,2.0532465026286695)
              (-1.9957148071578503,1.9957148071578503)
              (-1.9373431896285753,1.9373431896285753)
              (-1.8782623206174003,1.8782623206174003)
              (-1.8186140651984870,1.8186140651984870)
              (-1.7585540952946748,1.7585540952946748)
              (-1.6982531031579766,1.6982531031579766)
              (-1.6378984857746766,1.6378984857746766)
              (-1.5776987445649671,1.5776987445649671)
              (-1.5178850620043718,1.5178850620043718)
              (-1.4587157635530423,1.4587157635530423)
              (-1.4004795643303471,1.4004795643303471)
              (-1.3435008539791566,1.3435008539791566)
              (-1.2881433454565057,1.2881433454565057)
              (-1.2348141541677264,1.2348141541677264)
              (-1.1839679357799955,1.1839679357799955)
              (-1.1361063713159032,1.1361063713159032)
              (-1.0917775721684273,1.0917775721684273)
              (-1.0515688386448152,1.0515688386448152)
              (-1.0160914549009483,1.0160914549009483)
            (-0.98595805585514673,0.98595805585514673)
            (-0.96175160735693188,0.96175160735693188)
            (-0.94398385244648653,0.94398385244648653)
            (-0.93305371493750000,0.93305371493750000)
            (-0.92920732494170477,0.92920732494170477)
            (-0.93251145241550770,0.93251145241550770)
            (-0.94284471488016097,0.94284471488016097)
            (-0.95990988886002426,0.95990988886002426)
            (-0.98326424614344310,0.98326424614344310)
              (-1.0123600406670037,1.0123600406670037)
              (-1.0465881491367224,1.0465881491367224)
              (-1.0853167994058377,1.0853167994058377)
              (-1.1279228633202576,1.1279228633202576)
              (-1.1738132450578700,1.1738132450578700)
              (-1.2224374757699894,1.2224374757699894)
              (-1.2732938647305145,1.2732938647305145)
              (-1.3259307863569374,1.3259307863569374)
              (-1.3799456440026043,1.3799456440026043)
              (-1.4349790091394430,1.4349790091394430)
              (-1.4907129436925630,1.4907129436925630)
              (-1.5468637984723550,1.5468637984723550)
              (-1.6031812065852096,1.6031812065852096)
              (-1.6594394006455557,1.6594394006455557)
              (-1.7154385004415618,1.7154385004415618)
              (-1.7709968876769684,1.7709968876769684)
              (-1.8259521694194374,1.8259521694194374)
              (-1.8801557400686388,1.8801557400686388)
              (-1.9334746525360613,1.9334746525360613)
              (-1.9857848244106828,1.9857848244106828)
              (-2.0369747202916502,2.0369747202916502)
              (-2.0869412299835095,2.0869412299835095)
              (-2.1355877582849767,2.1355877582849767)
              (-2.1828277138045400,2.1828277138045400)
              (-2.2285795038351774,2.2285795038351774)
              (-2.2727671836771624,2.2727671836771624)
              (-2.3153213925370886,2.3153213925370886)
              (-2.3561766638478363,2.3561766638478363)
              (-2.3952733334401954,2.3952733334401954)
              (-2.4325549670680737,2.4325549670680737)
              (-2.4679697132120650,2.4679697132120650)
              (-2.5014705531293124,2.5014705531293124)
              (-2.5330123448034008,2.5330123448034008)
              (-2.5625555098444672,2.5625555098444672)
              (-2.5900618463886542,2.5900618463886542)
              (-2.6154971862499194,2.6154971862499194)
              (-2.6388318252901732,2.6388318252901732)
              (-2.6600367584169837,2.6600367584169837)
              (-2.6790883560083936,2.6790883560083936)
              (-2.6959641277279105,2.6959641277279105)
              (-2.7106451931124069,2.7106451931124069)
              (-2.7231155879397346,2.7231155879397346)
              (-2.7333616508971610,2.7333616508971610)
              (-2.9952884506037081,2.9952884506037081)
              (-2.9907735977506595,2.9907735977506595)
              (-2.9839125277367549,2.9839125277367549)
              (-2.9747134440618233,2.9747134440618233)
              (-2.9631871057712300,2.9631871057712300)
              (-2.9493472028017904,2.9493472028017904)
              (-2.9332100814570685,2.9332100814570685)
              (-2.9147950682079160,2.9147950682079160)
              (-2.8941242115061283,2.8941242115061283)
              (-2.8712223814370370,2.8712223814370370)
              (-2.8461173155531667,2.8461173155531667)
              (-2.8188396877166220,2.8188396877166220)
              (-2.7894231627633226,2.7894231627633226)
              (-2.7579041199797110,2.7579041199797110)
              (-2.7243222942794714,2.7243222942794714)
              (-2.6887203193505305,2.6887203193505305)
              (-2.6511442176213031,2.6511442176213031)
              (-2.6116429348960399,2.6116429348960399)
              (-2.5702691791682275,2.5702691791682275)
              (-2.5270789515495076,2.5270789515495076)
              (-2.4821321085949624,2.4821321085949624)
              (-2.4354921592548280,2.4354921592548280)
              (-2.3872268276669915,2.3872268276669915)
              (-2.3374082042830380,2.3374082042830380)
              (-2.2861134271417543,2.2861134271417543)
              (-2.2334239929391004,2.2334239929391004)
              (-2.1794275220791564,2.1794275220791564)
              (-2.1242173300259544,2.1242173300259544)
              (-2.0678938832577458,2.0678938832577458)
              (-2.0105648281716784,2.0105648281716784)
              (-1.9523459959046634,1.9523459959046634)
